antID,Tag,Colour,Age,Survived,Extraction
1,0x000,orange-orange,29,y,1
2,0x001,white-pink,7,y,1
3,0x002,pink-red,12,y,1
4,0x003,yellow-yellow,45,y,1
5,0x004,orange-orange,29,y,1
6,0x005,pink-red,12,y,1
7,0x006,white-pink,7,y,1
8,0x007,orange-silver,26,y,1
9,0x008,white-white,11,y,1
10,0x009,orange-silver,26,y,1
11,0x00a,white-cyan,9,y,1
12,0x00b,darkblue-green,34,y,1
13,0x00c,purple-silver,18,y,1
14,0x00d,orange-green,28,y,1
15,0x00e,pink-silver,13,y,1
16,0x00f,white-cyan,9,y,1
17,0x010,pink-red,12,y,1
18,0x011,pink-yellow,14,y,1
19,0x012,yellow-yellow,45,y,1
20,0x013,purple-purple,23,y,1
21,0x014,pink-silver,13,y,1
22,0x015,white-white,11,y,1
23,0x016,orange-orange,29,y,1
24,0x017,pink-red,12,y,1
25,0x018,pink-red,12,y,1
26,0x019,orange-cyan,25,y,1
27,0x01a,yellow-yellow,45,n,1
28,0x01b,darkblue-orange,33,y,1
29,0x01c,darkblue-cyan,31,y,2
30,0x01d,silver-purple,36,n,2
31,0x01e,white-white,11,y,2
32,0x01f,orange-orange,29,y,2
33,0x020,pink-yellow,14,y,2
34,0x021,pink-silver,13,y,2
35,0x022,orange-pink,27,n,2
36,0x023,white-green,6,y,2
37,0x024,silver-pink,37,y,2
38,0x025,pink-yellow,14,y,2
39,0x026,silver-silver,40,y,2
40,0x027,darkblue-darkblue,35,y,2
41,0x028,orange-orange,29,y,2
42,0x029,yellow-yellow,45,n,2
43,0x02a,orange-green,28,y,2
44,0x02b,purple-green,22,y,2
45,0x02c,orange-orange,29,y,2
46,0x02d,silver-pink,37,y,2
47,0x02e,orange-silver,26,y,2
48,0x02f,orange-orange,29,y,2
49,0x030,darkblue-pink,32,y,2
50,0x031,orange-pink,27,y,2
51,0x032,pink-yellow,14,y,2
52,0x033,purple-silver,18,y,2
53,0x034,purple-blue,19,y,2
54,0x035,purple-blue,19,y,2
55,0x036,pink-silver,13,y,2
56,0x037,white-white,11,y,3
57,0x038,pink-yellow,14,y,3
58,0x039,white-purple,8,n,3
59,0x03a,white-red,10,y,3
60,0x03b,white-cyan,9,y,3
61,0x03c,red-blue,3,y,3
62,0x03d,red-green,2,y,3
63,0x03e,purple-yellow,20,y,3
64,0x03f,pink-green,15,y,3
65,0x040,pink-red,12,y,3
66,0x041,pink-red,12,y,3
67,0x042,white-red,10,y,3
68,0x043,pink-silver,13,y,3
69,0x044,white-white,11,y,3
70,0x045,pink-silver,13,y,3
71,0x046,white-pink,7,y,3
72,0x047,white-red,10,y,3
73,0x048,white-red,10,y,3
74,0x049,white-purple,8,y,3
75,0x04a,white-red,10,y,3
76,0x04b,pink-silver,13,y,3
77,0x04c,red-blue,3,y,3
78,0x04d,white-pink,7,y,3
79,0x04e,pink-yellow,14,y,3
80,0x04f,pink-red,12,y,3
81,0x050,pink-yellow,14,y,3
82,0x051,purple-purple,23,y,4
83,0x052,pink-yellow,14,y,4
84,0x053,pink-silver,13,y,4
85,0x054,white-pink,7,y,4
86,0x055,white-green,6,y,4
87,0x056,pink-silver,13,y,4
88,0x057,white-green,6,y,4
89,0x058,orange-orange,29,y,4
90,0x059,white-green,6,y,4
91,0x05a,red-green,2,y,4
92,0x05b,white-red,10,y,4
93,0x05c,red-white,4,y,4
94,0x05d,pink-silver,13,y,4
95,0x05e,red-green,2,y,4
96,0x05f,pink-pink,17,y,4
97,0x060,white-red,10,y,4
98,0x061,red-silver,1,y,4
99,0x062,pink-pink,17,y,4
100,0x063,white-white,11,y,4
101,0x064,pink-yellow,14,y,4
102,0x065,pink-red,12,y,4
103,0x066,purple-green,22,y,4
104,0x067,pink-yellow,14,y,4
105,0x068,yellow-yellow,45,y,4
106,0x069,orange-orange,29,y,5
107,0x06a,silver-purple,36,y,5
108,0x06b,orange-yellow,24,y,5
109,0x06c,orange-orange,29,y,5
110,0x06d,purple-green,22,y,5
111,0x06e,darkblue-cyan,31,y,5
112,0x06f,purple-yellow,20,y,5
113,0x070,pink-yellow,14,y,5
114,0x071,yellow-yellow,45,n,5
115,0x072,pink-silver,13,y,5
116,0x073,silver-pink,37,y,5
117,0x074,orange-orange,29,n,5
118,0x075,orange-pink,27,y,5
119,0x076,pink-yellow,14,y,5
120,0x077,white-white,11,y,5
121,0x078,white-white,11,y,5
122,0x079,red-white,10,y,5
123,0x07a,purple-yellow,20,y,5
124,0x07b,pink-red,12,y,5
125,0x07c,yellow-red,41,n,5
126,0x07d,yellow-red,41,n,5
127,0x07e,orange-orange,29,y,5
128,0x07f,purple-yellow,20,y,5
129,0x080,pink-pink,17,y,5
130,0x081,orange-cyan,25,y,5
131,0x082,silver-red,38,y,5
132,0x083,yellow-yellow,45,n,5
133,0x084,purple-blue,19,y,5
134,0x085,darkblue-pink,32,y,5
135,0x086,purple-purple,23,y,5
136,0x087,pink-green,15,y,5
137,0x088,darkblue-pink,32,y,5
138,0x089,pink-silver,13,y,5
139,0x08a,orange-green,28,y,5
140,0x08b,purple-silver,18,y,5
141,0x08c,queen,NA,NA,5